var_set,variable
set_3,ind_prod
set_3,cpi
set_3,ib_rate
set_6,ind_prod
set_6,cpi
set_6,ib_rate
set_6,m2
set_6,reer
set_6,oil_price
set_24,employment
set_24,ind_prod
set_24,cpi
set_24,ib_rate
set_24,lend_rate
set_24,real_income
set_24,unemp_rate
set_24,oil_price
set_24,ppi
set_24,construction
set_24,real_investment
set_24,wage
set_24,m2
set_24,reer
set_24,gas_price
set_24,nfa_cb
set_24,ner
set_24,labor_request
set_24,agriculture
set_24,retail
set_24,gov_balance
set_24,export
set_24,import
set_24,time_y
